2026-04-08 22:16:47,349 - {'cpu_usage': 38.5, 'ram_usage': 86.3, 'disk_usage': 63.6}
2026-04-08 22:16:49,336 - {'cpu_usage': 23.4, 'ram_usage': 86.4, 'disk_usage': 63.6}
2026-04-08 22:16:51,349 - {'cpu_usage': 17.6, 'ram_usage': 86.5, 'disk_usage': 63.6}
2026-04-08 22:16:53,346 - {'cpu_usage': 26.2, 'ram_usage': 86.5, 'disk_usage': 63.6}
2026-04-08 22:16:55,338 - {'cpu_usage': 34.1, 'ram_usage': 86.5, 'disk_usage': 63.6}
2026-04-08 22:16:57,345 - {'cpu_usage': 21.6, 'ram_usage': 86.6, 'disk_usage': 63.6}
2026-04-08 22:16:59,341 - {'cpu_usage': 37.8, 'ram_usage': 86.8, 'disk_usage': 63.6}
2026-04-08 22:17:01,338 - {'cpu_usage': 49.5, 'ram_usage': 86.9, 'disk_usage': 63.6}
2026-04-08 22:17:03,351 - {'cpu_usage': 28.3, 'ram_usage': 86.7, 'disk_usage': 63.6}
2026-04-08 22:17:05,336 - {'cpu_usage': 13.9, 'ram_usage': 86.7, 'disk_usage': 63.6}
2026-04-08 22:17:07,339 - {'cpu_usage': 19.4, 'ram_usage': 86.5, 'disk_usage': 63.6}
2026-04-08 22:17:09,342 - {'cpu_usage': 18.9, 'ram_usage': 86.4, 'disk_usage': 63.6}
2026-04-08 22:17:11,339 - {'cpu_usage': 20.4, 'ram_usage': 86.4, 'disk_usage': 63.6}
2026-04-08 22:17:13,340 - {'cpu_usage': 12.7, 'ram_usage': 86.3, 'disk_usage': 63.6}
2026-04-08 22:17:15,343 - {'cpu_usage': 24.7, 'ram_usage': 86.3, 'disk_usage': 63.6}
2026-04-08 22:17:17,345 - {'cpu_usage': 30.9, 'ram_usage': 86.8, 'disk_usage': 63.6}
2026-04-08 22:17:19,340 - {'cpu_usage': 36.4, 'ram_usage': 87.2, 'disk_usage': 63.6}
2026-04-08 22:17:21,342 - {'cpu_usage': 24.4, 'ram_usage': 87.2, 'disk_usage': 63.6}
2026-04-08 22:17:23,341 - {'cpu_usage': 25.6, 'ram_usage': 88.1, 'disk_usage': 63.6}
2026-04-08 22:17:25,348 - {'cpu_usage': 17.3, 'ram_usage': 88.1, 'disk_usage': 63.6}
2026-04-08 22:17:27,340 - {'cpu_usage': 15.6, 'ram_usage': 88.1, 'disk_usage': 63.6}
2026-04-08 22:17:48,344 - {'cpu_usage': 47.4, 'ram_usage': 86.0, 'disk_usage': 63.6}
2026-04-08 22:18:48,340 - {'cpu_usage': 20.3, 'ram_usage': 88.0, 'disk_usage': 63.6}
2026-04-08 22:19:48,349 - {'cpu_usage': 29.9, 'ram_usage': 88.0, 'disk_usage': 63.6}
2026-04-08 22:20:48,343 - {'cpu_usage': 32.5, 'ram_usage': 89.9, 'disk_usage': 63.7}
2026-04-08 22:21:48,343 - {'cpu_usage': 30.5, 'ram_usage': 91.6, 'disk_usage': 64.9}
